artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,Places
Ernest Lawson,,,"{American Impressionism:9},{Modern art:11},{Impressionism:12},",,,,,,1906,1925,
Oscar Niemeyer,,,,,,,,,,,
Arnulf Rainer,Austrian,Vienna School of Fantastic Realism,"{Contemporary art:1},{Viennese Actionism:15},",,,,,,1950,1982,
Stradanus,,,,,,,,,1580,1605,
Antoni Gaudí,,,,,,,,,,,
Cornelis van Haarlem,,,,,,,,,1590,1590,
Kaii Higashiyama,,,,,,,,,,,
Su Shi,,,,,,,,,,,
N. C. Wyeth,,,,,,,,,1908,1908,
Annie Leibovitz,,,,,,,,,,,
Francesco Zuccarelli,,,,,,,,,1735,1788,
Alexander Roslin,,,,,,,,,1774,1774,
Angelica Kauffman,Austrian,,"{Neoclassicism:57},",,,,,,1763,1798,
Christo,,,,,,,,,,,
Robert S. Duncanson,,,,,,,,,1865,1871,
Yoshitomo Nara,,,,,,,,,2007,2008,
Polidoro da Caravaggio,,,,,,,,,1527,1527,
Song Dong,,,,,,,,,2001,2014,
Juan Carreño de Miranda,,,,,,,,,1657,1657,
John Wootton,,,,,,,,,,,
Giovanni Baglione,,,"{Baroque:1},{Mannerism:1},",,,,,,1630,1638,
Benvenuto Tisi,Italian,Ferrara School,"{School of Ferrara:1},{Italian Renaissance:1},{Renaissance:1},{Mannerism (Late Renaissance):22},",,,,,,1502,1550,
Fernand Khnopff,Belgian,"Vienna Secession,Les XX","{Symbolism:1},{Modern art:1},{Symbolism,Art Nouveau:34},",,,,,,1883,1922,
Eugène Grasset,,,,,,,,,,,
Giovanni Antonio Boltraffio,Italian,Lombard School,"{Italian Renaissance:2},{High Renaissance:17},{Renaissance:2},",,,,"Leonardo da Vinci,",,1480,1500,
