artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,Places
Samuel Palmer,British,Ancients,"{Romanticism:36},","J.M.W. Turner,William Blake,","Eric Ravilious,",,,,1825,1883,
Jang Seung-eop,,,,,,,,,1843,1897,
Gustave Caillebotte,French,,"{Impressionism:207},","Alfred Sisley,",,,,"Pierre-Auguste Renoir,Alfred Sisley,",1870,1894,
Jan van Eyck,,,,,,,,,1430,1435,
Takeuchi Seihō,,,,,,,,,1888,1941,
Jean-Léon Gérôme,,,,,,,,,1852,1903,
Abraham Bloemaert,,,"{School of Fontainebleau:1},{Dutch Golden Age:5},{Baroque:10},{Mannerism:7},",,,,,,1564,1651,
Jeong Seon,,,,,,,,,1676,1759,
Katsukawa Shunshō,,,,,,,,,,,
Martin Schongauer,German,German School,"{German Renaissance:16},{Northern Renaissance:76},{Renaissance:16},","Hugo van der Goes,Rogier van der Weyden,","Wilhelm von Kaulbach,","Albrecht Durer,",,,1450,1491,
Marcel Broodthaers,Belgian,,"{Conceptual Art:17},",,,,,,1964,1975,
Felice Beato,,,,,,,,,1855,1897,
Suzuki Harunobu,,,,,,,,,1764,1770,
Charles Willson Peale,American,,"{Rococo:64},",,,,,,1771,1841,
Francis Frith,,,,,,,,,1856,1871,
Lee Friedlander,,,,,,,,,,,
Gustave Moreau,French,,"{Symbolism:169},{Modern art:2},",,,,,,1850,1897,
Théophile Steinlen,,,,,,,,,1902,1914,
Jacob van Ruisdael,,,"{Dutch Golden Age:2},{Baroque:2},",,,,,,1648,1670,
Ilya Repin,Russian,Peredvizhniki (Society for Traveling Art Exhibitions),"{Realism:541},","Alexander Ivanov,Rembrandt,Frans Hals,Diego Velazquez,Edouard Manet,","Socialist Realism,Mykola Murashko,Oleksandr Murashko,","Boris Kustodiev,Igor Grabar,Anna Ostroumova-Lebedeva,Valentin Serov,Filipp Malyavin,Oleksandr Murashko,Mikhail Vrubel,","Ivan Kramskoy,Imperial Academy of Arts, Saint Petersburg, Russia,","Vasily Polenov,Alexandre Benois,Mykola Murashko,",1859,1927,
Kenny Scharf,,,,,,,,,2011,2013,
Peder Severin Krøyer,,,,,,,,,1873,1895,
Xu Bing,,,,,,,,,1991,2014,
Giovanni Domenico Tiepolo,Italian,,"{Rococo:60},",,,,"Giovanni Battista Tiepolo,",,1751,1797,
Gilbert Stuart,American,,"{Rococo,Romanticism:52},",,,,"Benjamin West,",,1782,1830,
Lorenzo Lotto,Italian,Venetian School,"{Italian Renaissance:5},{Venetian school:4},{High Renaissance:115},{Renaissance:5},","Giorgione,",,,,"Titian,",1513,1551,
Zhang Xiaogang,,,,,,,,,1988,2010,
Jan Steen,Dutch,"Dutch School,Haarlem School","{Dutch Golden Age:3},{Baroque:134},","Isaac van Ostade,Adriaen van Ostade,Jan Miense Molenaer,",,,"Nikolaus Knüpfer,Jan van Goyen,","Gabriel Metsu,",1650,1677,
Mathew Brady,,,,,,,,,1860,1875,
Charles-François Daubigny,,,"{Barbizon school:2},{Realism:2},",,,,,,1862,1876,
Alessandro Mendini,,,,,,,,,1981,2016,
José Guadalupe Posada,,,,,,,,,1888,1943,
Dong Qichang,,,,,,,,,1555,1636,
Qi Baishi,Chinese,,"{Qing Dynasty (1644–1912),New Culture Movement (1915-1926):91},","birds,",,,,"Artists2/Qi Baishi/The Chickens Are Happy Sun 1949.jpg,",1884,1957,
Hieronymus Bosch,Dutch,Flemish School,"{Northern Renaissance:184},",,"Pieter Bruegel the Elder,Yves Tanguy,",,,,1450,1575,
Henry Fox Talbot,,,,,,,,,1834,1860,
Max Klinger,German,,"{Symbolism:17},{Vienna Secession:3},{Modern art:14},","Adolph Menzel,Francisco Goya,","Giorgio de Chirico,",,,"Nicola Perscheid,",1878,1912,
Jusepe de Ribera,,,"{Baroque:4},",,,,,,1591,1652,
Jacob Jordaens,Flemish,"Flemish School,Antwerp School","{Antwerp school:8},{Dutch Golden Age:1},{Baroque:159},","Caravaggio,","Adam van Noort,",,"Adam van Noort,Peter Paul Rubens,",,1610,1663,
Lewis Hine,,,,,,,,,1905,1938,
Jean Auguste Dominique Ingres,French,,"{Neoclassicism:286},","Nicolas Poussin,","Tamara de Lempicka,Mark Ryden,Paul Gauguin,Edgar Degas,Pierre-Auguste Renoir,",,"Jacques-Louis David,Académie des Beaux-Arts, Paris, France,École des Beaux-Arts, Paris, France,",,1797,1867,
Thomas Rowlandson,,,"{Neoclassicism:2},",,,,,,1785,1800,
Hiroshi Yoshida,Japanese,,"{Taishō period (1912–1926),Shōwa period (1926–1989):24},",,,,,,1910,1937,
Kawanabe Kyōsai,,,,,,,,,1871,1871,
Lee Jung-seob,,,"{Modern art:98},{Expressionism:90},",,,,,,1916,1956,
Clyfford Still,American,Irascibles,"{Abstract expressionism:42},{Color Field:26},{Modern art:62},{Contemporary art:5},{Abstract art:31},{Expressionism:5},{Surrealism:7},{Abstract Expressionism:45},",,,,,,1929,1976,
Douglas Coupland,,,"{Op art:1},{Contemporary art:3},",,,,,,1993,2015,
John Singleton Copley,American,,"{Neoclassicism:3},{Neoclassicism,Romanticism:160},",,"Théodore Géricault,",,,,1753,1815,
Emily Carr,Canadian,"Canadian Group of Painters,Group of Seven,St Ives School","{Post-Impressionism:2},{Cubism:5},{Modern art:7},{Expressionism:2},{Modernism:6},{Post-Impressionism,Modernism:45},","Lawren Harris,Andre Derain,Paul Gauguin,Post-Impressionism,","Jessica Stockholder,",,"Lawren Harris,Harry Phelan Gibb,Algernon Talmage,","Albert Julius Olsson,",1890,1942,
Frans Hals,Dutch,"Dutch School,Haarlem School","{Baroque:170},","Peter Paul Rubens,Anthony van Dyck,","Judith Leyster,Adriaen van Ostade,Ilya Repin,","Adriaen van Ostade,Pieter Codde,Jan Miense Molenaer,",,,1611,1666,
Émile Gallé,,,,,,,,,1878,1904,
Edward Lear,British,,"{Romanticism,Naturalism:31},","91 x 147 cm,",,,,,1832,1883,
Henri Fantin-Latour,,,"{Realism:1},{Academic art:1},{Modern art:1},",,,,,,1859,1899,
Félix Vallotton,,,,,,,,,1887,1923,
Andrea Mantegna,Italian,Venetian School,"{Early Renaissance,High Renaissance:145},","Rembrandt,","Albrecht Durer,Hans Holbein the Younger,",,,,1447,1519,
Pierre Bonnard,French,Les Nabis,"{Modern art:1},{Post-Impressionism:235},",,"Michel Kikoine,",,,,1888,1946,
Bertel Thorvaldsen,,,,,,,,,1815,1840,
Childe Hassam,American,"Ten (Ten American Painters),American Barbizon school,Cos Cob Art Colony","{American Impressionism:4},{Impressionism:555},","Claude Monet,Georges Seurat,James McNeill Whistler,J.M.W. Turner,Pierre-Auguste Renoir,Barbizon school,","Maurice Prendergast,Edward Hopper,",,,"Edward E. Simmons,",1880,1934,
Albrecht Altdorfer,German,Danube school,"{German Renaissance:5},{Northern Renaissance:87},{Renaissance:5},",,,,,,1506,1537,
Gian Lorenzo Bernini,Italian,,"{Baroque:57},","Salvator Rosa,",,,,"Salvator Rosa,",1615,1678,
George Stubbs,British,,"{Romanticism:74},",,,,,,1760,1800,
Julia Margaret Cameron,British,Pre-Raphaelite Brotherhood,"{Romanticism:16},",,,,,,1864,1910,
Hubert Robert,French,,"{Neoclassicism:2},{Rococo:33},",,,,,,1750,1806,
Giovanni Bellini,Italian,Venetian School,"{Venetian school:1},{Italian Renaissance:1},{Renaissance:1},{High Renaissance:89},",,"Venetian School,Antonello da Messina,Bartolomeo Veneto,Mikhail Vrubel,","Giorgione,Titian,",,"Albrecht Durer,",1450,1822,
William Merritt Chase,American,"Society of American Artists,Ten (Ten American Painters),Tile Club","{American Impressionism:1},{Modern art:1},{Impressionism:377},",,"Edward Hopper,","Edward Hopper,Rockwell Kent,",,,1869,1916,
Lucio Fontana,"Italian,Argentinean",Zero,"{Modern art:1},{Contemporary art:1},{Spatialism,Arte Povera:22},",,"Turi Simeti,Gerhard Richter,",,,,1948,1968,
L. S. Lowry,,,,,,,,,1920,1964,
Benjamin West,"American,British",,"{Rococo,Neoclassicism:106},","Gilbert Stuart,","Venus Consoling Cupid Stung by a Bee (?),","Gilbert Stuart,","Artists2/Benjamin West/Venus Consoling Cupid Stung By A Bee 1802.jpg,",,1756,1819,
George Bellows,American,"Eight,Ashcan School","{Ashcan School:1},{Realism:1},{Modern art:1},{New Realism (American Realism):28},","Robert Henri,","School of the Art Institute of Chicago (SAIC), Chicago, IL, US,Parsons School of Design (Chase School, New York School of Art), New York City, NY, US,","Artists2/George Bellows/Breaking Sky Monhegan 1916.jpg,","Robert Henri,","Edward Hopper,Rockwell Kent,",1899,1924,
Edward Hopper,American,"Eight,Ashcan School","{New Realism (American Realism):169},","Robert Henri,William Merritt Chase,Edouard Manet,Edgar Degas,Childe Hassam,Impressionism,","Willem de Kooning,Mark Rothko,Jim Dine,George Segal,Banksy,Edward Ruscha,",,"Robert Henri,William Merritt Chase,","George Bellows,Rockwell Kent,",1899,1965,
Franz Marc,German,"Der Blaue Reiter (The Blue Rider),Degenerate art,Der Sturm","{German Expressionism:2},{Der Blaue Reiter:2},{Modern art:2},{Expressionism:119},","El Greco,","Paul Klee,",,,"Edvard Munch,August Macke,Wassily Kandinsky,",1902,1914,
Anders Zorn,Swedish,,"{Realism,Impressionism:144},",,,,,,1879,1920,
Gordon Parks,,,"{Social realism:1037},",,,,,,1942,2007,
Qiu Ying,Chinese,,"{Ming Dynasty (1368–1644):25},",,,,,,1530,1552,
David Teniers the Younger,,,,,,,,,1634,1690,
Yue Minjun,,,,,,,,,1994,2009,
Hendrik Goltzius,,,"{Baroque:6},{Renaissance:4},{Mannerism:15},",,,,,,1585,1617,
Yoshitoshi,,,,,,,,,1867,1891,
Joshua Reynolds,British,English school,"{Rococo:223},","Diego Velazquez,Jacob van Ruisdael,",,,,,1740,1789,
Frederic Edwin Church,American,Hudson River School,"{Luminism:1},{Hudson River School:1},{Romanticism:45},","Thomas Cole,",,,"Thomas Cole,","Thomas Cole,",1847,1891,
Bronzino,,,,,,,,,1525,1560,
Ramon Casas,,,,,,,,,1883,1915,
Kara Walker,,,,,,,,,1997,2017,
Nicholas Roerich,Russian,Mir Iskusstva (World of Art),"{Symbolism:1843},","mountains,Grand Canyon,mountains,caves-and-volcanoes,mountains,islands-and-bays,cliffs-and-rocks,Monhegan,forests-and-trees,Monhegan,cliffs-and-rocks,Monhegan,Monhegan,islands-and-bays,cliffs-and-rocks,deserts-and-steppes,monuments-and-statues,Mongolia,cemeteries-and-tombs,State Museum of Oriental Art, Moscow, Russia,Private Collection,islands-and-bays,Monhegan,twilight-and-night,islands-and-bays,cliffs-and-rocks,Monhegan,boats-and-ships,islands-and-bays,cliffs-and-rocks,Monhegan,sunrise-and-sunset,islands-and-bays,mountains,Monhegan,Вещее облако,Christianity,Jesus-Christ,Pskov,angels-and-archangels,Christianity,saints-and-apostles,Pskov,Daumantas-of-Pskov,Vsevolod-of-Pskov,","Messiah,","Ocean,Imperial Academy of Arts, Saint Petersburg, Russia,",,"Artists2/Nicholas Roerich/Medieval Revel 1903.jpg,Artists2/Nicholas Roerich/Giantess Krimgerd 1915 1.jpg,Artists2/Nicholas Roerich/Giantess Krimgerd 1915.jpg,Artists2/Nicholas Roerich/Santa Fe 1921.jpg,Artists2/Nicholas Roerich/Rio Grande 1921.jpg,Artists2/Nicholas Roerich/Red Mountain Santa Fe 1921.jpg,Artists2/Nicholas Roerich/Grand Canyon Arizona.jpg,Artists2/Nicholas Roerich/Grand Canyon 1921.jpg,Artists2/Nicholas Roerich/Cliff Dwellings Arizona 1921 1.jpg,Artists2/Nicholas Roerich/Cliff Dwellings Arizona 1921.jpg,Artists2/Nicholas Roerich/Monhigan Vagueness 1922.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 31.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 30.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 29.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 28.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 27.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 26.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 25.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 24.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 23.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 22.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 21.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 20.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 19.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 18.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 17.jpg,Artists2/Nicholas Roerich/Study Of Scene Decoration For The Rite Of Spring 1930.jpg,Artists2/Nicholas Roerich/Keeper Of Cuple.jpg,Artists2/Nicholas Roerich/Tibetian Way 1931 1.jpg,Artists2/Nicholas Roerich/Tablets Of Law 1931.jpg,Artists2/Nicholas Roerich/Study Of Mountains 1931 1.jpg,Artists2/Nicholas Roerich/River Chandra 1932.jpg,Artists2/Nicholas Roerich/Frosty Mongolia.jpg,Artists2/Nicholas Roerich/Tibetian Dwellings.jpg,Artists2/Nicholas Roerich/Chan Thang Northern Tibet 1939.jpg,Artists2/Nicholas Roerich/Maitreya 1932 3.jpg,Artists2/Nicholas Roerich/Issa And Giant S Head 1932 3.jpg,Artists2/Nicholas Roerich/Devita 1932.jpg,Artists2/Nicholas Roerich/Chenrezig 1932.jpg,Artists2/Nicholas Roerich/River Chandra 1931.jpg,Artists2/Nicholas Roerich/Palden Lhamo 1931.jpg,Artists2/Nicholas Roerich/Guru Guri Dhar 1931.jpg,Artists2/Nicholas Roerich/Elijah The Prophet 1931.jpg,Artists2/Nicholas Roerich/Monhigan Vagueness 1922 1.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 16.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 15.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 14.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 13.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 12.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 11.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 10.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 9.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 8.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 7.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 6.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 5.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 4.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 3.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 2.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922 1.jpg,Artists2/Nicholas Roerich/Monhigan Study 1922.jpg,Artists2/Nicholas Roerich/Monhigan Shining Of Night 1922.jpg,Artists2/Nicholas Roerich/Monhigan Hope 1922.jpg,Artists2/Nicholas Roerich/Monhigan Fairytale 1922.jpg,Artists2/Nicholas Roerich/Monhigan Dreaminess 1922.jpg,Artists2/Nicholas Roerich/Monhigan Creating 1922.jpg,Artists2/Nicholas Roerich/Monhigan 1922.jpg,Artists2/Nicholas Roerich/Blue Temples Grand Canyon Arizona 1921.jpg,Artists2/Nicholas Roerich/Blue Temples 1921.jpg,Artists2/Nicholas Roerich/Linnasaari Ladoga Lake.jpg,Artists2/Nicholas Roerich/Giantess Krimgerd.jpg,Artists2/Nicholas Roerich/Saint Pantaleon The Healer 1916.jpg,Artists2/Nicholas Roerich/Living Water 1915.jpg,Artists2/Nicholas Roerich/The Painting Of Of St Anastasia 1913.jpg,Artists2/Nicholas Roerich/The Painting Of The Southern Wall Of The Chapel Of St Anastasia 1913.jpg,Artists2/Nicholas Roerich/Shchegolikha 1912 2.jpg,Artists2/Nicholas Roerich/Shchegolikha 1912 1.jpg,Artists2/Nicholas Roerich/Shchegolikha 1912.jpg,Artists2/Nicholas Roerich/In A Foreign Bank.jpg,",1889,1947,
Juan Gris,Spanish,École de Paris,"{Cubism:200},{Modern art:2},",,"Karl Otto Gotz,Balcomb Greene,Fernando García Ponce,",,,"Amedeo Modigliani,Alice Bailly,",1910,1927,
Frederic Leighton,British,,"{Academic art:1},{Symbolism:1},{Academic Art:108},","Edward Poynter,","Edward Poynter,Greek-and-Roman-Mythology,nymphs-and-satyrs,female-portraits,male-nude,serpents-and-snakes,male-portraits,famous-people,characters-and-emotions,female-nude,Greek-and-Roman-Mythology,Aphrodite/Venus,female-portraits,characters-and-emotions,priests-and-sacraments,fictional-characters,William-Shakespeare-""Romeo-and-Juliet"",Juliet,Romeo,ceremonies,",,"Royal Academy of Arts (RA), London, UK,",,1865,1890,
Sin Yun-bok,,,,,,,,,1758,1858,
John Everett Millais,British,Pre-Raphaelite Brotherhood,"{Romanticism,Realism:107},","Ambrogio Lorenzetti,Paolo Veneziano,","Ford Madox Brown,",,,"William Holman Hunt,",1842,1896,
Luca Giordano,Italian School of Paintings,,"{Baroque:145},",,,,,,1650,1799,
Jacques-Louis David,,,"{Neoclassicism:1},",,,,,,1772,1824,
Ma Yuan,Chinese,Ma-Xia School,"{Southern Song Dynasty (1127–1279):14},",,,,,,1190,1195,
Henri Rousseau,French,Painters of the Sacred Heart,"{Naïve Art (Primitivism):123},",,"Pablo Picasso,Fernand Leger,Jean Metzinger,Max Beckmann,Robert Delaunay,Alfred Sisley,Surrealism,",,,"Constantin Brancusi,",1875,1910,
Henry Fuseli,Swiss,,"{Romanticism:29},",,"Théodore Géricault,",,,,1780,1812,
Eugène Atget,,,,,,,,,1898,1930,
Zhang Daqian,,,,,,,,,1937,1947,
Guercino,Italian,Bolognese School,"{Baroque:60},",,,,,,1616,1666,
Fornasetti,Italian,,"{Surrealism,Kitsch:18},",,,,,,1939,1939,
Lovis Corinth,German,Berlin Secession,"{Modern art:2},{Expressionism:1},{Impressionism,Expressionism:129},",,,,,,1886,1925,
JR,,,"{Street art:46},",,,,,,2010,2014,
Kunisada,,,,,,,,,1786,1864,
Alfred Stieglitz,American,"Stieglitz group,Photo-Secession","{Pictorialism:14},",,,,,"Georgia O'Keeffe,Man Ray,",1886,1936,
Thomas Eakins,American,,"{American Realism:1},{Realism:307},",,,,,,1858,1913,
Caravaggio,Italian,,"{Baroque:79},","Giorgione,Titian,","Gustave Courbet,Artemisia Gentileschi,Diego Velazquez,Hendrick Terbrugghen,Peter Paul Rubens,Johannes Vermeer,Georges de la Tour,Jusepe de Ribera,Rembrandt,Eugene Delacroix,Edouard Manet,Jacob Jordaens,Francisco de Zurbaran,Jacques-Louis David,Giorgio Morandi,Caravaggisti,Odd Nerdrum,",,,,1592,1610,
Giorgio de Chirico,,,,,,,,,1912,2006,
Sol LeWitt,,,"{Minimalism:1},{Conceptual art:1},{Contemporary art:1},",,,,,,1962,2005,
Victor Vasarely,"French,Hungarian",,"{Op Art:42},",,,,,,1929,1997,
Eugène Boudin,,,,,,,,,1853,1898,
Jean-Antoine Watteau,,,,,,,,,1715,1722,
Bada Shanren,Chinese,,"{Qing Dynasty (1644–1912):20},",,,,,,1689,1705,
Frederic Remington,American,,"{American Impressionism:1},{Modern art:1},{Impressionism:1},{Tonalism,Impressionism:43},",,,,,,1880,1910,
Berthe Morisot,French,,"{Modern art:2},{Impressionism:243},",,,,,"Edouard Manet,Camille Corot,",1858,1894,
Eadweard Muybridge,,,,,,,,,1864,1887,
Diego Velázquez,,,,,,,,,1620,1644,
Louis Comfort Tiffany,American,,"{Art Nouveau:1},{Aestheticism,Art Nouveau:260},",,,,,,1866,1931,
Bartolomé Esteban Murillo,,,"{Baroque:2},",,,,,,1645,1700,
Francisco de Zurbarán,,,"{Baroque:2},",,,,,,1626,1662,
Leonardo da Vinci,,,"{Italian Renaissance:1},{High Renaissance:1},{Renaissance:1},",,,,,,1495,1512,
Guido Reni,Italian,Bolognese School,"{Italian Renaissance:1},{Baroque:146},{Renaissance:1},",,"Nicolas Poussin,",,"Annibale Carracci,",,1580,1700,
Wen Zhengming,,,,,,,,,1527,1559,
Winslow Homer,American,Tile Club,"{American Realism:6},{Realism:127},",,"Frank W. Benson,",,,,1857,1906,
Paul Signac,French,Société des Artistes Indépendants (Society of Independent Artists),"{Post-Impressionism:93},",,,,,,1882,1935,
Pieter Bruegel the Elder,,,,,,,,,1554,1570,
Johannes Vermeer,Dutch,"Dutch School,Delft School","{Baroque:39},","Carel Fabritius,Gerrit Dou,Gerard Terborch,Pieter de Hooch,Caravaggio,Caravaggisti,","Gabriel Metsu,Frank W. Benson,",,"Carel Fabritius,",,1653,1674,
Édouard Vuillard,,,,,,,,,1891,1935,
Edward Burne-Jones,,,,,,,,,1869,1892,
Georges Seurat,French,Société des Artistes Indépendants (Society of Independent Artists),"{Neo-impressionism:2},{Post-Impressionism:176},{Modern art:3},","Nicolas Poussin,Jean-Francois Millet,","Charles Angrand,Edvard Munch,Childe Hassam,Robert Delaunay,",,,,1877,1890,
Hiroshige,Japanese,Utagawa school,"{Ukiyo-e:9},{Edo period (1603–1867):90},","seas-and-oceans,mountains,",,,,"Artists2/Hiroshige/Hakone Kosuizu.jpg,",1820,1859,
Alfred Sisley,"French,British",,"{Impressionism:471},","J.M.W. Turner,John Constable,Gustave Courbet,Camille Corot,Henri Rousseau,Thomas Gainsborough,","Henri Matisse,Vincent van Gogh,Claude Monet,Paul Gauguin,Gustave Caillebotte,",,"Charles Gleyre,","Frederic Bazille,Claude Monet,Pierre-Auguste Renoir,Gustave Caillebotte,",1865,1898,
James Abbott McNeill Whistler,,,"{Tonalism:1},{Modern art:11},{Impressionism:5},{Aestheticism:1},",,,,,,1858,1897,
Thomas Gainsborough,British,English school,"{Rococo:175},{Romanticism:1},","Anthony van Dyck,Jacob van Ruisdael,","John Constable,Alfred Sisley,John Singer Sargent,",,"William Hogarth,",,1733,1788,
Giovanni Battista Tiepolo,Italian,Venetian School,"{Rococo:142},{Renaissance:11},","Rembrandt,Tintoretto,Paolo Veronese,",,"Giovanni Domenico Tiepolo,",,,1717,1770,
Hans Holbein the Younger,,,"{German Renaissance:1},{Northern Renaissance:1},{Renaissance:1},",,,,,,1523,1542,
Dante Gabriel Rossetti,British,Pre-Raphaelite Brotherhood,"{Pre-Raphaelite Brotherhood:1},{Romanticism,Aestheticism:195},","Ford Madox Brown,Ambrogio Lorenzetti,Paolo Veneziano,",,,"Ford Madox Brown,","John Ruskin,William Holman Hunt,Simeon Solomon,",1840,1882,
Joaquín Sorolla,,,,,,,,,1890,1917,
Honoré Daumier,,,"{Realism:36},",,,,,,1835,1879,
Canaletto,Italian,Venetian School,"{Rococo:26},{Baroque,Rococo:172},","Bernardo Bellotto,","Bernardo Bellotto,","Bernardo Bellotto,114.2 x 153.5 cm,27 x 37.7 cm,",,,1721,1765,
Paolo Veronese,Italian,Venetian School,"{Italian Renaissance:1},{Venetian school:1},{Renaissance:2},{Mannerism:1},{Mannerism (Late Renaissance):184},",,"Maarten de Vos,Eugene Delacroix,Giovanni Battista Tiepolo,Anthony van Dyck,",,,,1546,1588,
William Hogarth,British,English school,"{Rococo:146},",,,"Thomas Gainsborough,",,,1710,1764,
Caspar David Friedrich,,,"{Romanticism:128},","Arnold Böcklin,Arkhip Kuindzhi,Ivan Shishkin,Mark Rothko,Gerhard Richter,Gotthard Graubner,Hudson River School,Surrealism,Edvard Munch,Knud Baade,","Arnold Böcklin,Arkhip Kuindzhi,Ivan Shishkin,Mark Rothko,Gerhard Richter,Gotthard Graubner,Hudson River School,Surrealism,Edvard Munch,Knud Baade,","Winterlandschaft mit Kirche,Der Mönch am Meer,","Christian August Lorentzen,University of Greifswald, Greifswald, Germany,Royal Danish Academy of Fine Arts, Copenhagen, Denmark,Dresden Academy of Fine Arts, Dresden, Germany,Akademie der Künste Berlin, Berlin, Germany,","Philipp Otto Runge,Johan Christian Dahl,",1794,1840,
Egon Schiele,Austrian,Vienna Secession,"{Vienna Secession:1},{Modern art:1},{Expressionism:289},","Gustav Klimt,Vincent van Gogh,Jan Toorop,Edvard Munch,Wassily Kandinsky,","Francis Bacon,Julian Schnabel,Expressionism,Neo-Expressionism,",,,"Gustav Klimt,Oskar Kokoschka,",1905,1919,
